# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	66314
#@/user_id	5a07802e-f501-4e1e-90d0-e1d0749305c3
a 	啊	c=201 d=0.985963 t=66314
ding wei dao 	定位到	c=1 d=1 t=41664
ding yi 	定義	c=26 d=5.00963e-16 t=66314
ding yi de 	定義的	c=1 d=1 t=28215
ding yi xia 	定一下	c=1 d=1 t=30032
ding zhe 	盯着	c=1 d=1 t=48789
ding zhe 	頂着	c=2 d=1 t=48788
ding zhi 	定製	c=1 d=6.70527e-34 t=66314
diu 	丟	c=13 d=0.0327124 t=66314
diu bao 	丟包	c=1 d=1 t=65026
diu le 	丟了	c=4 d=1.24884e-26 t=66314
diu ri zhi 	丟日誌	c=1 d=1 t=42014
diu shi 	丟失	c=4 d=9.2136e-08 t=66314
dong 	動	c=4 d=3.76988e-24 t=66314
dong 	懂	c=9 d=1.67563e-14 t=66314
dong 	東	c=3 d=2.08577e-31 t=66314
dong 	洞	c=0 d=9.1992e-20 t=66314
dong che 	動車	c=2 d=5.77568e-33 t=66314
dong guo 	動過	c=3 d=2.56792e-07 t=66314
dong hang 	東航	c=1 d=3.10886e-50 t=66314
dong hua 	動畫	c=1 d=5.12755e-25 t=66314
dong lu 	東路	c=1 d=5.70201e-39 t=66314
dong man 	動漫	c=1 d=1 t=61669
dong nan ya 	東南亞	c=2 d=1.87787e-31 t=66314
dong qi 	東起	c=2 d=1.99501 t=61694
dong tai 	動態	c=15 d=0.00012341 t=66314
dong tu 	動圖	c=1 d=4.27024e-49 t=66314
dong xi 	東西	c=15 d=1.00204e-24 t=66314
dou 	逗	c=0 d=0.1 t=56113
dou 	都	c=187 d=2.80207 t=66314
dou bu cuo 	都不錯	c=1 d=6.79944e-51 t=66314
dou cha 	鬥茶	c=0 d=9.80834e-39 t=66314
dou cha bu duo 	鬥茶不多	c=1 d=9.85751e-38 t=66314
dou dong 	抖動	c=7 d=0.267135 t=66314
dou fu 	豆腐	c=0 d=1.43353e-32 t=66314
dou hao 	逗號	c=1 d=1 t=31052
dou hen 	都很	c=1 d=1 t=46259
dou hu 	都虎	c=1 d=2.19196e-27 t=66314
dou hua 	豆花	c=7 d=2.72717e-09 t=66314
dou hua hua 	豆花花	c=1 d=3.10199e-24 t=66314
dou hui 	都會	c=9 d=1.5404e-24 t=66314
dou jiang 	豆漿	c=2 d=1.96079 t=32581
dou ke neng 	都可能	c=1 d=1 t=43234
dou ke yi 	都可以	c=8 d=0.00200803 t=66314
dou mai 	都買	c=1 d=9.17545e-18 t=66314
dou mei 	都沒	c=1 d=5.66181e-44 t=66314
dou neng 	都能	c=0 d=0.1 t=44000
dou ni ne 	逗你呢	c=1 d=1 t=56114
dou pi 	豆皮	c=3 d=4.52273e-19 t=66314
dou shi 	都是	c=76 d=0.204915 t=66314
dou xing 	都行	c=1 d=5.92261e-15 t=66314
dou xing ya 	都行呀	c=1 d=3.59335e-48 t=66314
dou yao 	都要	c=8 d=4.89442e-07 t=66314
dou yin 	抖音	c=1 d=6.30404e-14 t=66314
dou you 	都有	c=3 d=3.23253e-09 t=66314
dou zai 	都在	c=3 d=9.68599e-08 t=66314
dou zou 	都走	c=1 d=1 t=47272
du 	堵	c=1 d=2.06109e-38 t=66314
du 	度	c=5 d=0.00937227 t=66314
du 	讀	c=9 d=1.33352 t=65023
du bi 	杜比	c=1 d=1 t=45434
du du 	毒毒	c=1 d=1 t=42260
du le 	賭了	c=1 d=2.05081e-38 t=66314
du li 	獨立	c=22 d=0.0053338 t=66314
du nang 	嘟囔	c=1 d=1 t=24252
du qu 	讀取	c=5 d=2.13051e-16 t=66314
du xie 	讀寫	c=2 d=1.41464e-22 t=66314
du zi 	肚子	c=1 d=2.06319e-50 t=66314
duan 	斷	c=2 d=1.16359e-08 t=66314
duan 	段	c=19 d=1.88439e-13 t=66314
duan 	短	c=2 d=1 t=57339
duan 	端	c=28 d=0.507304 t=66314
duan dian 	斷電	c=2 d=1.73887e-38 t=66314
duan diao 	斷掉	c=1 d=7.81988e-49 t=66314
duan duan 	短短	c=1 d=1 t=51275
duan kai 	斷開	c=4 d=8.70098e-11 t=66314
duan kou 	端口	c=13 d=8.07228e-11 t=66314
duan ku 	短褲	c=1 d=6.72971e-18 t=66314
duan le 	短了	c=1 d=4.09861e-37 t=66314
duan lian 	斷連	c=1 d=1 t=66044
duan ma 	短嗎	c=1 d=2.58791e-10 t=66314
duan qi 	短期	c=3 d=2.92541e-11 t=66314
duan shang 	端上	c=3 d=1.00004 t=66157
duan shi jian 	段時間	c=1 d=1 t=52085
duan xin 	短信	c=6 d=8.33965e-12 t=66314
duan xiu 	短袖	c=1 d=6.59645e-18 t=66314
duan zhe 	端着	c=1 d=1 t=41755
dui 	堆	c=1 d=1 t=37893
dui 	對	c=135 d=0.108809 t=66314
dui 	隊	c=1 d=1 t=41859
dui a 	對啊	c=20 d=0.843665 t=66314
dui ba 	對吧	c=18 d=0.00023056 t=66314
dui bi 	對比	c=18 d=6.55086e-10 t=66314
dui bi xia 	對比下	c=1 d=1 t=26433
dui bu dui 	對不對	c=1 d=9.24059e-13 t=66314
dui bu qi 	對不起	c=8 d=6.80914e-09 t=66314
dui bu shang 	對不上	c=8 d=0.000911744 t=66314
dui cheng 	對稱	c=1 d=1 t=57109
dui dai 	對待	c=1 d=1 t=33889
dui de 	對的	c=72 d=0.325118 t=66314
dui de shang 	對的上	c=5 d=0.00180139 t=66314
dui dui 	對對	c=1 d=2.42422e-06 t=66314
dui ji 	堆積	c=1 d=4.71132e-29 t=66314
dui jie 	對接	c=27 d=0.759953 t=66314
dui ju 	對局	c=1 d=5.1011e-23 t=66314
dui le 	對了	c=3 d=3.44061e-37 t=66314
dui lie 	隊列	c=18 d=1.44847e-06 t=66314
dui ma 	對嗎	c=7 d=3.06059e-13 t=66314
dui mian 	對面	c=2 d=1.06555 t=55242
dui o 	對哦	c=1 d=1.32124e-42 t=66314
dui qi 	對其	c=1 d=1.44346e-24 t=66314
dui qi 	對齊	c=2 d=5.91757e-05 t=66314
dui shang 	對上	c=2 d=2.81654e-06 t=66314
dui wai 	對外	c=4 d=4.19308e-11 t=66314
dui xiang 	對象	c=7 d=0.0011131 t=66314
dui ya 	對呀	c=4 d=0.000202454 t=66314
dui yi xia 	對一下	c=9 d=1 t=62842
dui yi xie 	對一些	c=1 d=1 t=27219
dui ying 	對應	c=27 d=0.108073 t=66314
dui you 	隊友	c=1 d=1 t=55222
dui yu 	對於	c=2 d=1.08683e-09 t=66314
dun mu 	敦睦	c=1 d=1 t=43102
duo 	多	c=69 d=0.722531 t=66314
duo 	躲	c=1 d=8.20823e-31 t=66314
duo bu rong yi ya 	多不容易呀	c=1 d=1 t=52913
duo chang 	多長	c=1 d=1 t=58462
duo chu 	多出	c=1 d=1.30383e-33 t=66314
duo chuan 	多舛	c=2 d=2.41377e-14 t=66314
duo ci 	多次	c=7 d=1.31264e-24 t=66314
duo da 	多大	c=1 d=1 t=53651
duo duo 	多多	c=0 d=0.1 t=36425
duo gao 	多搞	c=1 d=8.01784e-49 t=66314
duo gao 	多高	c=1 d=1 t=24292
duo ge 	多個	c=25 d=0.000117979 t=66314
duo hang 	多行	c=1 d=6.39149e-29 t=66314
duo huo 	多活	c=22 d=1.00063 t=50855
duo ji 	多級	c=3 d=1.50257 t=47080
duo ji fang 	多機房	c=12 d=0.00307331 t=66314
duo jiu 	多久	c=4 d=5.95736e-25 t=66314
duo le 	多了	c=12 d=6.42253e-06 t=66314
duo mai 	多買	c=0 d=2.47396e-40 t=66314
duo mai dian 	多買點	c=1 d=2.48636e-39 t=66314
duo mei ti 	多媒體	c=2 d=1 t=62475
duo o 	多哦	c=1 d=1.31465e-42 t=66314
duo shao 	多少	c=29 d=0.0443785 t=66314
duo shao qian 	多少錢	c=1 d=1 t=48027
duo shao ya 	多少呀	c=1 d=6.56802e-26 t=66314
duo tai 	多臺	c=5 d=0.384812 t=66314
duo tiao 	多條	c=3 d=1.03883e-07 t=66314
duo wan 	多萬	c=3 d=2.6155e-23 t=66314
duo wen jian 	多文件	c=3 d=5.46597e-36 t=66314
duo xian cheng 	多線程	c=2 d=1.87372 t=32989
duo xiao shi 	多小時	c=1 d=3.33779e-33 t=66314
duo yi xie 	多一些	c=1 d=1 t=54395
duo yong 	多用	c=0 d=3.10199e-25 t=66314
duo yong yong 	多用用	c=1 d=3.11753e-24 t=66314
duo yu 	多餘	c=1 d=2.06466e-29 t=66314
duo zhe 	躲着	c=1 d=8.26088e-18 t=66314
duo zhong 	多種	c=1 d=1 t=31499
e 	俄	c=1 d=9.78833e-14 t=66314
e 	呃	c=1 d=1.90327e-42 t=66314
e 	惡	c=4 d=0.000914453 t=66314
e 	額	c=7 d=1.77345e-06 t=66314
e 	餓	c=0 d=0.1 t=38565
e du 	額度	c=1 d=1 t=37752
e e 	哦哦	c=1 d=8.3408e-43 t=66314
e e 	諤諤	c=6 d=1.05052e-21 t=66314
e e e 	呃呃呃	c=6 d=1 t=62544
e e e 	哦哦額	c=1 d=7.36449e-49 t=66314
e e e 	諤諤額	c=6 d=0.818731 t=66314
e gao 	惡搞	c=0 d=1.68403e-15 t=66314
e le ma 	額了嗎	c=1 d=1 t=38565
e le ma 	餓了嗎	c=1 d=1 t=38566
e lie 	惡劣	c=1 d=3.26269e-30 t=66314
e luo si 	俄羅斯	c=1 d=1 t=25061
e ne 	額呢	c=2 d=1.84357e-20 t=66314
e si le 	餓死了	c=1 d=1 t=59045
e wai 	額外	c=9 d=9.44011e-29 t=66314
e xin 	噁心	c=4 d=8.65906e-13 t=66314
e xin ren 	噁心人	c=1 d=3.78543e-43 t=66314
e zi 	蛾子	c=0 d=3.32577e-21 t=66314
ei 	誒	c=9 d=7.81082e-06 t=66314
ei ei 	誒誒	c=5 d=8.78067e-30 t=66314
ei ei ei 	誒誒誒	c=2 d=3.04419e-38 t=66314
en 	嗯	c=1 d=1 t=24158
en 	恩	c=4 d=3.54962e-14 t=66314
en dian 	恩典	c=1 d=1 t=65733
en en 	嗯嗯	c=364 d=1.48059 t=66314
en en e 	嗯嗯額	c=1 d=1 t=64127
en en ne 	嗯嗯呢	c=3 d=1.66699e-12 t=66314
en ne 	恩呢	c=15 d=2.38237e-07 t=66314
er 	二	c=4 d=0.000114567 t=66314
er 	兒	c=8 d=3.24349 t=65150
er 	而	c=6 d=1.13686e-09 t=66314
er bo 	二伯	c=0 d=1.60993e-15 t=66314
er bu shi 	而不是	c=8 d=3.85796e-31 t=66314
er ci 	二次	c=8 d=4.28807e-21 t=66314
er duo 	耳朵	c=1 d=1 t=24244
er fen 	二分	c=1 d=1 t=27406
er fen fa 	二分法	c=1 d=1 t=27393
er ji 	二級	c=2 d=1.9802 t=47051
er ji 	耳機	c=0 d=0.1 t=43340
er jin zhi 	二進制	c=2 d=2.96086e-35 t=66314
er lang tui 	二郎腿	c=1 d=1 t=46627
er mian 	二麪	c=1 d=1 t=27415
er qi 	二期	c=2 d=1.04596 t=45850
er qie 	而且	c=8 d=0.158025 t=66314
er shi 	而是	c=2 d=1 t=35741
er yi 	而已	c=4 d=1 t=61762
er zi 	兒子	c=1 d=6.28563e-09 t=66314
fa 	法	c=1 d=1 t=48336
fa 	發	c=131 d=0.779134 t=66314
fa ban 	發版	c=78 d=0.233981 t=66314
fa ban ni 	發版你	c=1 d=1 t=42098
fa bu 	發佈	c=53 d=0.00226828 t=66314
fa chu lai 	發出來	c=2 d=1 t=47106
fa chu qu 	發出去	c=4 d=1 t=45021
fa cuo le 	發錯了	c=1 d=1 t=48785
fa dao 	發到	c=7 d=3.30289e-27 t=66314
fa de 	發的	c=2 d=4.67706e-49 t=66314
fa fa 	發發	c=1 d=9.20748e-25 t=66314
fa fa fu 	發發付	c=2 d=1.60696e-24 t=66314
fa fang 	發放	c=1 d=1 t=64452
fa ge 	發個	c=5 d=3.4681e-13 t=66314
fa ge ban 	發個版	c=1 d=1 t=33265
fa gei 	發給	c=2 d=4.55484e-15 t=66314
fa gei guo 	發給過	c=1 d=8.64525e-53 t=66314
fa gei le 	發給了	c=1 d=1.52845e-50 t=66314
fa gei ni 	發給你	c=1 d=2.34283e-16 t=66314
fa gei wo 	發給我	c=4 d=1.88646e-23 t=66314
fa guo 	發過	c=1 d=2.10716e-05 t=66314
fa guo le 	發過了	c=1 d=0.000211772 t=66314
fa hao le 	發好了	c=2 d=1 t=43398
fa huo 	發貨	c=1 d=3.64765e-48 t=66314
fa la 	發啦	c=1 d=2.40173e-14 t=66314
fa le 	發了	c=23 d=0.0631712 t=66314
fa ming 	發明	c=1 d=1 t=37530
fa piao 	發票	c=4 d=0.0343896 t=66314
fa qi 	發起	c=4 d=8.23649e-42 t=66314
fa sheng 	發生	c=4 d=2.32086e-23 t=66314
fa song 	發送	c=25 d=0.612626 t=66314
fa song gei 	發送給	c=1 d=1 t=48616
fa wan 	發完	c=6 d=4.47316e-07 t=66314
fa wan le 	發完了	c=15 d=3.59102e-11 t=66314
fa wo 	發我	c=3 d=8.54031e-27 t=66314
fa xian 	發現	c=31 d=0.0151463 t=66314
fa xie 	發泄	c=2 d=1.86711e-44 t=66314
fa yi ban 	發一版	c=1 d=1 t=32060
fa yi tai 	發一臺	c=1 d=1 t=58958
fa yi xia 	發一下	c=11 d=1.94506e-12 t=66314
fa zhe ge 	發這個	c=1 d=1 t=41976
fa zhi qian 	發之前	c=1 d=1 t=27200
fan 	凡	c=1 d=1 t=60484
fan 	反	c=2 d=1 t=40814
fan 	煩	c=2 d=1 t=63697
fan 	返	c=1 d=1.22223e-08 t=66314
fan 	飯	c=2 d=2.01334e-27 t=66314
fan cheng 	返程	c=1 d=0.0175097 t=66314
fan duo 	飯多	c=1 d=9.49389e-37 t=66314
fan er sai 	凡爾賽	c=1 d=1 t=57009
fan feng 	反諷	c=1 d=1.26096e-22 t=66314
fan gei 	返給	c=2 d=4.07411e-07 t=66314
fan hu 	泛湖	c=1 d=1 t=53694
fan hui 	返回	c=119 d=0.0155094 t=66314
fan jian 	繁簡	c=1 d=8.09869e-20 t=66314
fan kui 	反饋	c=13 d=1.00331 t=65925
fan le 	翻了	c=2 d=2.09843e-14 t=66314
fan li 	返利	c=1 d=1.96263e-21 t=66314
fan nao 	煩惱	c=1 d=2.97155e-48 t=66314
fan qiang 	翻牆	c=2 d=4.89093e-28 t=66314
fan ren 	煩人	c=1 d=3.54358e-31 t=66314
fan ren 	犯人	c=1 d=3.49082e-31 t=66314
fan she 	反射	c=1 d=1 t=35179
fan shi 	範式	c=1 d=1.14154e-28 t=66314
fan suo 	繁瑣	c=0 d=0.1 t=40838
fan wei 	範圍	c=8 d=6.74204e-06 t=66314
fan xian 	反現	c=1 d=1 t=36428
fan xiang 	反向	c=1 d=3.81036e-32 t=66314
fan xing 	泛型	c=1 d=1.16461e-28 t=66314
fan yi 	翻譯	c=2 d=1 t=51890
fan yi ci 	反義詞	c=1 d=7.53552e-25 t=66314
fan ying 	反應	c=5 d=7.38379e-21 t=66314
fan ying 	反映	c=1 d=1 t=61488
fan zheng 	反正	c=9 d=2.82383e-07 t=66314
fan zhuo 	飯桌	c=0 d=1.62611e-15 t=66314
fan zhuo shang 	飯桌上	c=1 d=1.63426e-14 t=66314
fang 	房	c=2 d=3.76463e-37 t=66314
fang 	放	c=23 d=4.45666e-13 t=66314
fang 	方	c=8 d=8.83708e-17 t=66314
fang an 	方案	c=76 d=0.00193046 t=66314
fang bian 	方便	c=16 d=0.147342 t=66314
fang bu liao 	放不了	c=3 d=1 t=54141
fang bu xia 	放不下	c=1 d=7.78908e-32 t=66314
fang chu lai 	放出來	c=1 d=2.55199e-22 t=66314
fang da 	放大	c=1 d=1 t=33544
fang dai 	房貸	c=1 d=5.03029e-35 t=66314
fang dao 	放到	c=9 d=0.0110536 t=66314
fang dong 	房東	c=1 d=1 t=26032
fang fa 	方法	c=18 d=4.42324e-22 t=66314
fang fan 	防範	c=0 d=0.1 t=65480
fang fan qu 	防範區	c=1 d=1 t=65481
fang hao 	放好	c=1 d=1.45267e-40 t=66314
fang jia 	放假	c=1 d=1 t=32056
fang kai 	放開	c=1 d=0.1 t=63509
fang kai wan 	放開完	c=1 d=1 t=63510
fang le 	放了	c=1 d=1 t=45823
fang mian 	方面	c=3 d=1.2482e-20 t=66314
fang qi 	放棄	c=0 d=0.1 t=63217
fang ru 	放入	c=5 d=2.095e-24 t=66314
fang shi 	方式	c=35 d=0.0972957 t=66314
fang song 	放鬆	c=4 d=9.90267e-12 t=66314
fang wen 	訪問	c=67 d=0.000187388 t=66314
fang wen liang 	訪問量	c=1 d=1 t=50740
fang wen ne 	訪問呢	c=1 d=1 t=28662
fang wo zhe 	放我這	c=1 d=3.6365e-12 t=66314
fang xia 	放下	c=3 d=1.6641e-21 t=66314
fang xin 	放心	c=0 d=0.1 t=56067
fang xin shang 	放心上	c=1 d=1 t=56068
fang yi 	防疫	c=1 d=1 t=49037
fang yi qi 	放一起	c=1 d=1 t=35983
fang zai 	放在	c=4 d=7.65824e-16 t=66314
fang zai le 	放在了	c=1 d=1 t=26575
fang zhao 	仿照	c=1 d=0.000682328 t=66314
fang zhi 	防止	c=7 d=0.000347412 t=66314
fang zi 	房子	c=1 d=4.8332e-36 t=66314
fang zu 	房租	c=2 d=5.20415e-23 t=66314
fei 	廢	c=1 d=5.2936e-47 t=66314
fei 	非	c=24 d=1.84276e-18 t=66314
fei 	飛	c=3 d=1.11086e-31 t=66314
fei die 	飛碟	c=1 d=2.89169e-51 t=66314
fei fu 	肺腑	c=1 d=1 t=51402
fei ji 	飛機	c=5 d=1.00964e-31 t=66314
fei ji piao 	飛機票	c=1 d=6.07771e-25 t=66314
fei kuai zhuan 	非快轉	c=1 d=1 t=55764
fei qi 	廢棄	c=2 d=1 t=39499
fei qian 	費錢	c=0 d=0.1 t=45490
fei yao 	非要	c=2 d=1 t=52556
fei yong 	費用	c=2 d=1 t=65950
fei zhou 	非洲	c=1 d=2.12025e-18 t=66314
fen 	份	c=8 d=4.27923e-06 t=66314
fen 	分	c=29 d=2.09701e-06 t=66314
fen 	粉	c=4 d=7.75683e-42 t=66314
fen ban 	分班	c=1 d=1 t=47381
fen bian lv 	分辨率	c=1 d=1 t=48597
fen bie 	分別	c=11 d=0.00114197 t=66314
fen bu 	分佈	c=8 d=0.131994 t=66314
fen bu shi 	分佈式	c=2 d=6.93938e-26 t=66314
fen cheng 	分成	c=1 d=1.23961e-27 t=66314
fen ci 	分詞	c=2 d=1.48432 t=24306
fen duan 	分段	c=7 d=4.15985e-35 t=66314
fen fa 	分發	c=8 d=1.91738e-26 t=66314
fen gei 	分給	c=1 d=6.46452e-46 t=66314
fen gei ni 	分給你	c=1 d=6.49693e-45 t=66314
fen kai 	分開	c=5 d=4.56974e-23 t=66314
fen lei 	分類	c=1 d=1 t=51538
fen li 	分離	c=7 d=0.0118871 t=66314
fen mu 	分母	c=1 d=1 t=51751
fen pei 	分配	c=11 d=0.177284 t=66314
fen pian 	分片	c=103 d=0.675933 t=66314
fen qu 	分區	c=1 d=1 t=47407
fen san 	分散	c=1 d=1 t=49967
fen shi 	分時	c=1 d=1 t=62003
fen shi duan 	分時段	c=1 d=1 t=38791
fen sui 	粉碎	c=0 d=1.29508e-43 t=66314
fen sui xing 	粉碎性	c=1 d=1.30157e-42 t=66314
fen ti 	分題	c=1 d=6.15573e-28 t=66314
fen tui 	分推	c=1 d=1 t=55243
fen wei 	分位	c=5 d=4.13532 t=58637
fen xi 	分析	c=19 d=0.00308417 t=66314
fen xi chu 	分析出	c=1 d=1 t=27378
fen xiang 	分享	c=14 d=2.87698e-20 t=66314
fen xiang hui 	分享會	c=1 d=1.50493e-44 t=66314
fen xiang lv 	分享率	c=6 d=6.13697e-19 t=66314
fen zhi 	分支	c=12 d=0.0111315 t=66314
fen zhong 	分鐘	c=20 d=2.73738e-06 t=66314
fen zi 	分子	c=1 d=1 t=51750
fen zu 	分組	c=2 d=7.5996e-07 t=66314
feng 	封	c=5 d=2.14338e-28 t=66314
feng 	峯	c=3 d=1.99005 t=38802
feng 	風	c=3 d=0.822835 t=66314
feng chao 	豐巢	c=1 d=7.75023e-32 t=66314
feng ge 	風格	c=2 d=2.29598e-43 t=66314
feng kong 	風控	c=2 d=0.0365162 t=66314
feng kuang 	瘋狂	c=1 d=1.30654e-28 t=66314
feng le 	瘋了	c=2 d=4.80895e-35 t=66314
feng tai da 	風太大	c=1 d=2.39921e-31 t=66314
feng xian 	奉賢	c=1 d=1 t=48267
feng xian 	風險	c=2 d=1 t=52112
feng zhi 	峯值	c=9 d=0.32628 t=66314
feng zhuang 	封裝	c=4 d=1.27563e-34 t=66314
fo 	佛	c=1 d=1 t=35411
fou 	否	c=3 d=2.37535e-14 t=66314
fou ze 	否則	c=14 d=0.00267181 t=66314
fu 	付	c=3 d=2.21826e-20 t=66314
fu 	富	c=1 d=4.98533e-47 t=66314
fu 	扶	c=1 d=1.36598e-22 t=66314
fu 	父	c=1 d=2.21972e-29 t=66314
fu 	福	c=1 d=7.97514e-45 t=66314
fu 	符	c=0 d=6.38347e-37 t=66314
fu 	負	c=0 d=0.1 t=31277
fu dian 	浮點	c=2 d=1 t=38647
fu dong 	浮動	c=2 d=4.67567e-24 t=66314
fu fu 	夫婦	c=1 d=3.52591e-31 t=66314
fu gai 	覆蓋	c=10 d=0.00603608 t=66314
fu gai le 	覆蓋了	c=1 d=5.89407e-17 t=66314
fu gong 	復工	c=1 d=1 t=50099
fu gu 	復古	c=1 d=1 t=42616
fu hao 	符號	c=1 d=6.55329e-29 t=66314
fu he 	符合	c=8 d=8.07503e-15 t=66314
fu jia 	附加	c=1 d=1 t=53407
fu jian 	附件	c=4 d=5.23014e-08 t=66314
fu jin 	附近	c=5 d=2.11583e-35 t=66314
fu ke 	復刻	c=1 d=1.85218e-16 t=66314
fu le 	服了	c=6 d=1.49335e-12 t=66314
fu lei 	弗雷	c=0 d=0.1 t=42596
fu lei de 	弗雷德	c=3 d=1 t=63312
fu li 	福利	c=1 d=1 t=41839
fu lu 	附錄	c=3 d=2.96482e-09 t=66314
fu shi 	複試	c=1 d=2.00024e-09 t=66314
fu shu 	負數	c=1 d=1 t=36031
fu wu 	服務	c=85 d=0.322721 t=66314
fu wu duan 	服務端	c=13 d=0.0341833 t=66314
fu wu qi 	服務器	c=12 d=2.88887e-09 t=66314
fu wu shang 	服務商	c=2 d=1.4043e-14 t=66314
fu wu shu 	服務樹	c=21 d=1 t=65212
fu xian 	復現	c=3 d=1.00088 t=46339
fu yan 	敷衍	c=1 d=4.3559e-18 t=66314
fu yong 	復用	c=16 d=0.0153474 t=66314
fu yong 	服用	c=1 d=0.00331267 t=66314
fu you 	富有	c=1 d=1 t=51309
fu you hua 	負優化	c=1 d=1 t=31278
fu za 	複雜	c=5 d=1.25296e-06 t=66314
fu za du 	複雜度	c=2 d=7.07956e-26 t=66314
fu zai 	負載	c=18 d=1.24392e-09 t=66314
fu ze 	負責	c=19 d=0.008396 t=66314
fu ze ren 	負責人	c=1 d=0.00169512 t=66314
fu zhi 	複製	c=16 d=0.0067722 t=66314
fu zhi 	賦值	c=1 d=1 t=54763
fu zhu 	輔助	c=3 d=5.65315e-26 t=66314
fu zu jian 	父組件	c=1 d=2.23085e-28 t=66314
ga te 	噶特	c=1 d=1 t=32273
gai 	改	c=80 d=0.00397469 t=66314
gai 	蓋	c=0 d=0.000790705 t=66314
gai 	該	c=24 d=0.0909373 t=66314
gai ban 	改版	c=1 d=1 t=55524
gai bian 	改變	c=3 d=3.07321e-32 t=66314
gai bu shang 	蓋不上	c=1 d=0.00794669 t=66314
gai cheng 	改成	c=18 d=3.47967e-15 t=66314
gai dao 	改到	c=8 d=1.00006 t=46490
gai diao 	改掉	c=0 d=0.1 t=26431
gai diao le 	改掉了	c=1 d=1 t=26432
gai dong 	改動	c=22 d=1.91157e-05 t=66314
gai gan sha 	該幹啥	c=1 d=0.913931 t=66314
gai ge 	改個	c=3 d=5.84953e-16 t=66314
gai guo 	改過	c=4 d=1 t=65061
gai hao 	改好	c=1 d=1 t=43976
gai hao le 	改好了	c=1 d=1 t=27133
gai jin 	改進	c=3 d=4.5172e-34 t=66314
gai le 	改了	c=13 d=5.89006e-09 t=66314
gai lv 	概率	c=1 d=1 t=33688
gai ming 	改名	c=8 d=1.99503 t=58661
gai nian 	概念	c=7 d=1.20516e-26 t=66314
gai qian 	改簽	c=1 d=0.0208584 t=66314
gai shi jian 	改時間	c=1 d=1.87627e-21 t=66314
gai shu 	概述	c=1 d=3.33041e-07 t=66314
gai wan 	改完	c=5 d=1.79042e-13 t=66314
gai wan le 	改完了	c=3 d=8.23145e-13 t=66314
gai wei 	改爲	c=2 d=3.56752e-22 t=66314
gai xia 	改下	c=1 d=1 t=42499
gai xie 	改寫	c=7 d=5.6047e-13 t=66314
gai yi xia 	改一下	c=3 d=1 t=65983
gai yi xia 	該一下	c=7 d=0.190139 t=66314
gai yong 	改用	c=3 d=1 t=45273
gai zao 	改造	c=7 d=1.62189 t=61262
gai zhao 	改朝	c=1 d=1 t=34361
gai zi 	蓋子	c=1 d=0.00786762 t=66314
gan 	幹	c=2 d=1 t=57373
gan 	敢	c=4 d=4.65651e-09 t=66314
gan ban 	幹拌	c=2 d=3.08166e-31 t=66314
gan dao 	幹到	c=3 d=1 t=66202
gan diao 	幹掉	c=1 d=1 t=57051
gan fan 	乾飯	c=1 d=1 t=55306
gan ga 	尷尬	c=7 d=3.14458e-08 t=66314
gan jin 	趕緊	c=1 d=1.1e-33 t=66314
gan jing 	乾淨	c=2 d=1.81511e-17 t=66314
gan jue 	感覺	c=60 d=0.000832646 t=66314
gan le 	乾了	c=1 d=1 t=61728
gan rao 	干擾	c=1 d=1 t=61191
gan sha 	幹啥	c=7 d=1.00945 t=66314
gan she 	干涉	c=1 d=9.87462e-29 t=66314
gan shen me 	幹什麼	c=2 d=1.22728e-27 t=66314
gan te tu 	甘特圖	c=1 d=9.92749e-33 t=66314
gan xie 	感謝	c=5 d=1 t=64738
gan yu 	干預	c=2 d=1.81705e-26 t=66314
gang 	剛	c=25 d=0.0288686 t=66314
gang chi wan 	剛吃完	c=1 d=4.3958e-37 t=66314
gang gang 	剛剛	c=9 d=2.02654 t=58588
gang guo 	剛過	c=16 d=1.11725e-10 t=66314
gang hao 	剛好	c=1 d=3.31708e-48 t=66314
gang jie dian 	剛節點	c=1 d=1 t=35628
gang jin 	鋼筋	c=1 d=1 t=47968
gang shuo 	剛說	c=1 d=1 t=42142
gang wei 	崗位	c=1 d=1 t=25794
gao 	搞	c=66 d=0.000129304 t=66314
gao 	稿	c=2 d=4.595e-29 t=66314
gao 	高	c=33 d=0.126092 t=66314
gao bu ding 	搞補丁	c=1 d=1.57098e-20 t=66314
gao cheng 	搞成	c=1 d=1 t=42862
gao chu 	高出	c=1 d=1 t=56426
gao ding 	搞定	c=2 d=1.1678 t=31882
gao du 	高度	c=5 d=1.41708e-30 t=66314
gao feng 	高峯	c=4 d=1.00005 t=66133
gao feng qi 	高峯期	c=1 d=1 t=55452
gao gang 	高崗	c=1 d=1.12146e-25 t=66314
gao guang 	高光	c=18 d=2.20989e-20 t=66314
gao guang shi ke 	高光時刻	c=1 d=7.43874e-20 t=66314
gao ji 	高級	c=1 d=1.10037e-37 t=66314
gao jian 	稿件	c=24 d=8.69654e-05 t=66314
gao jing 	告警	c=6 d=1 t=59249
gao le 	搞了	c=0 d=4.78333e-32 t=66314
gao le 	高了	c=2 d=1 t=37363
gao neng 	高能	c=21 d=9.07128e-05 t=66314
gao qing 	高清	c=5 d=1.37247e-26 t=66314
gao shi qing 	搞事情	c=3 d=8.92096e-40 t=66314
